puuid,leaguePoints,wins,losses,tier
HcoQfGnVTyWpr3JJtUurXdkoHPCQUKrnh9sePJamrg_vqRASQtZdO3Ae5Go7V2wjffZ0MQUgaunt9w,1325,273,191,CHALLENGER
8YkgN-bph8k9hgsBhTcxd5hKhfOnoaN7EWAfHNyjUtp6LSRzEGvXPy0z9epGaX_BBDjciIo0m6qkkA,1321,422,376,CHALLENGER
X1hrPBFXA13-sHuUcsKZqLhLVzgzjlAx-SKQa1-iE2M0MsR-VUq4ltHNlfVJsZ3bfEllJGeKROUWEA,1320,230,169,CHALLENGER
kTWMKlAbEwqZXn_Wtoioj5BRD_ZZHxYHOtwVYhvtXdBV8kTIjcWI8vwTOGWPylQKVD9NI_H87Em7xA,1318,344,268,CHALLENGER
pqcwI4VgCNvs95TrjNxo_4v9hD1VI4WhfHM-u8wS1o0jfsaedlgbjyKZ9ZLabnwydRsUQ3_zf0EroA,1314,212,165,CHALLENGER
UbJK-90BZoWSrksXGp6Lvi3h_8pGOi1kyRN7YVWZxm5acxC5Gy2SDJLIxlLScZUO8A0LW8lY6Cba5Q,1305,406,279,CHALLENGER
kaK09qfYZtpzBFicQVCq2iMT0OC_AVUnZDsPLaNa2TUmaKPh7PDJHH4kviWCCVk_B7gd05jPmYtwbA,1301,209,136,CHALLENGER
PWI0UHx3ydO4MEjkl-6svk3vHuHMifBB0LTiJxShGiZj-FkgxdGwP9xvtYlJ0BRMMFPNsJc0i11CSw,1298,531,410,CHALLENGER
Q372Q3eNbeon6EshDIXZ9edX8TdsrZ7awKB43Gssm4jU03usUpT07eGXwCphxmSCY6CmcIVtx6kVgA,1296,334,229,CHALLENGER
a_3GqLjNkiySGZH-DMIFTfk0k15mEy_FAl6HnOOfqj18HRSYyp92LOg25cH98_90-5n6fs8CwCuxRQ,1294,109,37,CHALLENGER
awipcJoXAYbgfxBgApej8s35pKkCBjoWd3wHrA5c6S7e_6g_LvVT6Uy1usMV8u8g9RXcuo-n7gDklQ,1290,293,233,CHALLENGER
NRoExa6xqywAoqsxWfJMFwKwX_iu40O2kKtSQ_gIkkMiRXQPIz4AK4aNF6vHqH0FySVALjgsqMDSRA,1290,364,280,CHALLENGER
wYRL7lVpe_6st8Qaaxyj8gENJISntuR2MEwkn_JNUQemCwBYlDJd1scUHbTgEAH7P8E2AnYLxw1iDA,1289,457,301,CHALLENGER
lzlaXqfYwbc6yJme-sLUkda0dc16itlYfzlEDg_2RQTQJqc-ieoxWC3CHZ0g6p-ftMft_UZ80d-IJw,1286,324,230,CHALLENGER
0f2J__i-3-3uBSeoV1GvDONBjOBQ5xk3uIrAWfmWllvS0ZfhPtLxUge6I4PPxGcBaVxDtmz5tscdZg,1282,462,378,CHALLENGER
lOJ0Y62TeV2MQW8IlpwRYAb8ojhX39YZG3gRp6HPB8CGH1tUp4P3gY_98Voyny3YK-Ry5MIKvRxhGQ,1282,486,438,CHALLENGER
A2jkbeR2Pl7TSwTvhsprqKGD88GND6iX8-3Ua1EVxUuUc3cOecIlLF-VA3-CUT9z9bF332bvkHNChQ,1279,420,338,CHALLENGER
xdzrj_Tp9ypkhzr_8NW6gAi6hVf0f11l1i9HbDAqT5JjfLtAkAMyiA3yMO1vqtuBv-lg9mJyhboCqg,1277,143,69,CHALLENGER
gOSNINvD_-7fUG0O-LhlghDvsbLAbkTWnfI07fJ8feO7KsP6GAryr6NVt9zgd5E6yqhXo9FFJSMVDg,1277,321,235,CHALLENGER
bPygx0ZUMt2YRDz6oWi5EQF2hcdK6TutE41AiD-bW9lr1oOPPSFma3nfYAlUzDQVJNi7TVicECxivw,1273,397,304,CHALLENGER
tG_1CcGEQ5NEuZUnwxyWmxFPuZ5YW70Ycnz-NxVpZo-AbE23OM8CEZgRsl0b1Rdlc65MjEr8EM6XYg,1273,279,238,CHALLENGER
